1440	ALE
1489	ALINGSÅS
0764	ALVESTA
0604	ANEBY
1984	ARBOGA
2506	ARJEPLOG
2505	ARVIDSJAUR
1784	ARVIKA
1882	ASKERSUND
2084	AVESTA
1460	BENGTSFORS
2326	BERG
2403	BJURHOLM
1260	BJUV
2582	BODEN
1443	BOLLEBYGD
2183	BOLLNÄS
0885	BORGHOLM
2081	BORLÄNGE
1490	BORÅS
0127	BOTKYRKA
0560	BOXHOLM
1272	BROMÖLLA
2305	BRÄCKE
1231	BURLÖV
1278	BÅSTAD
1438	DALS-ED
0162	DANDERYD
1862	DEGERFORS
2425	DOROTEA
1730	EDA
0125	EKERÖ
0686	EKSJÖ
0862	EMMABODA
0381	ENKÖPING
0484	ESKILSTUNA
1285	ESLÖV
1445	ESSUNGA
1982	FAGERSTA
1382	FALKENBERG
1499	FALKÖPING
2080	FALUN
1782	FILIPSTAD
0562	FINSPÅNG
0482	FLEN
1763	FORSHAGA
1439	FÄRGELANDA
2026	GAGNEF
0662	GISLAVED
0461	GNESTA
0617	GNOSJÖ
0980	GOTLAND
1764	GRUMS
1444	GRÄSTORP
1447	GULLSPÅNG
2523	GÄLLIVARE
2180	GÄVLE
1480	GÖTEBORG
1471	GÖTENE
0643	HABO
1783	HAGFORS
1861	HALLSBERG
1961	HALLSTAHAMMAR
1380	HALMSTAD
1761	HAMMARÖ
0136	HANINGE
2583	HAPARANDA
0331	HEBY
2083	HEDEMORA
1283	HELSINGBORG
1466	HERRLJUNGA
1497	HJO
2104	HOFORS
0126	HUDDINGE
2184	HUDIKSVALL
0860	HULTSFRED
1315	HYLTE
0305	HÅBO
1863	HÄLLEFORS
2361	HÄRJEDALEN
2280	HÄRNÖSAND
1401	HÄRRYDA
1293	HÄSSLEHOLM
1284	HÖGANÄS
0821	HÖGSBY
1266	HÖRBY
1267	HÖÖR
2510	JOKKMOKK
0123	JÄRFÄLLA
0680	JÖNKÖPING
2514	KALIX
0880	KALMAR
1446	KARLSBORG
1082	KARLSHAMN
1883	KARLSKOGA
1080	KARLSKRONA
1780	KARLSTAD
0483	KATRINEHOLM
1715	KIL
0513	KINDA
2584	KIRUNA
1276	KLIPPAN
0330	KNIVSTA
2282	KRAMFORS
1290	KRISTIANSTAD
1781	KRISTINEHAMN
2309	KROKOM
1881	KUMLA
1384	KUNGSBACKA
1960	KUNGSÖR
1482	KUNGÄLV
1261	KÄVLINGE
1983	KÖPING
1381	LAHOLM
1282	LANDSKRONA
1860	LAXÅ
1814	LEKEBERG
2029	LEKSAND
1441	LERUM
0761	LESSEBO
0186	LIDINGÖ
1494	LIDKÖPING
